2024-09-14 22:22:38,832 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-09-14 22:22:38,849 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-09-14 22:22:38,850 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-09-14 22:22:38,851 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-09-14 22:22:38,853 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-09-14 22:22:38,853 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-09-14 22:22:38,854 INFO  SwAddin.cs: 201 - Setting up command manager
2024-09-14 22:22:38,854 INFO  SwAddin.cs: 204 - Adding command manager
2024-09-14 22:22:38,856 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-09-14 22:22:38,857 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-09-14 22:22:38,857 INFO  SwAddin.cs: 210 - Adding event handlers
2024-09-14 22:22:38,859 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-09-14 22:23:24,538 INFO  SwAddin.cs: 294 - Assembly export called for file mobilerobot.SLDASM
2024-09-14 22:23:25,852 INFO  SwAddin.cs: 313 - Saving assembly
2024-09-14 22:23:35,548 INFO  SwAddin.cs: 316 - Opening property manager
2024-09-14 22:23:35,569 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mobilerobot.SLDASM
2024-09-14 22:23:35,572 INFO  ExportHelperExtension.cs: 1136 - Found 106 in mobilerobot.SLDASM
2024-09-14 22:23:35,572 INFO  ExportHelperExtension.cs: 1145 - Found 5 features of type [CoordSys] in mobilerobot.SLDASM
2024-09-14 22:23:35,572 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-09-14 22:23:35,572 INFO  ExportHelperExtension.cs: 1160 - 63 components to check
2024-09-14 22:23:35,572 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from mobilerobot.SLDASM
2024-09-14 22:23:35,578 INFO  ExportHelperExtension.cs: 1136 - Found 106 in mobilerobot.SLDASM
2024-09-14 22:23:35,579 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in mobilerobot.SLDASM
2024-09-14 22:23:35,579 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-09-14 22:23:35,579 INFO  ExportHelperExtension.cs: 1160 - 63 components to check
2024-09-14 22:23:36,238 INFO  SwAddin.cs: 339 - Loading config tree
2024-09-14 22:23:36,244 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2024-09-14 22:23:36,298 INFO  SwAddin.cs: 344 - Showing property manager
2024-09-14 22:25:49,484 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:26:09,083 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:26:40,770 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:27:43,337 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:27:43,681 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:27:44,088 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:27:51,354 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:28:25,770 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:28:29,125 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:28:47,228 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:28:56,148 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:30:45,957 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:30:45,978 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:30:46,017 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:31:11,729 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:31:13,912 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:31:15,901 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:32:42,430 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:32:55,488 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:32:57,308 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:33:16,517 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:33:18,796 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2024-09-14 22:33:19,421 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 347 - Creating joint Base_Link
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1397 - Fixing components for Basefoot_link
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1402 - Fixing 53
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1409 - Component 53 is already fixed
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1402 - Fixing 52
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1409 - Component 52 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 51
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1409 - Component 51 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 49
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1409 - Component 49 is already fixed
